"","onlyClusterGenes"
"579","CROCC"
"580","CT62"
"581","CTGF"
"582","CXorf21"
"583","CXorf36"
"584","CXorf38"
"585","CXorf40A"
"586","CXorf40B"
"587","CXorf49"
"588","CXorf56"
"589","CXorf57"
"590","CXorf58"
"591","CXorf65"
"592","CXorf66"
"593","CYR61"
"594","DARS"
"595","DDX1"
"596","DEC1"
"597","DIRC2"
"598","DLG4"
"599","DUOXA1"
"600","DUPD1"
"601","DUSP27"
"602","DWORF"
"603","EEF1E1-BLOC1S5"
"604","ELMSAN1"
"605","EPRS"
"606","ERCC5"
"607","ETAA1"
"608","FABP6"
"609","FAM129B"
"610","FAM129C"
"611","FAM156B"
"612","FAM169B"
"613","FAM173A"
"614","FAM173B"
"615","FAM192A"
"616","FAM198A"
"617","FAM198B"
"618","FAM19A1"
"619","FAM19A2"
"620","FAM19A3"
"621","FAM19A4"
"622","FAM19A5"
"623","FAM206A"
"624","FAM208A"
"625","FAM221B"
"626","FAM45A"
"627","FAM49A"
"628","FAM49B"
"629","FAM57A"
"630","FAM57B"
"631","FAM69A"
"632","FAM69B"
"633","FAM69C"
"634","FAM84A"
"635","FAM84B"
"636","FAM86C1"
"637","FAM92A"
"638","FAM92B"
"639","FAN1"
"640","FBXO2"
"641","FCRL3"
"642","FGFR1OP"
"643","FIG4"
"644","FO393400"
"645","FO681492"
"646","FOPNL"
"647","FOXP2"
"648","FP565260"
"649","FP565260"
"650","FPR2"
"651","FTH1"
"652","FUK"
"653","GABRP"
"654","GALNT1"
"655","GARS"
"656","GIF"
"657","GJA9-MYCBP"
"658","GKN3P"
"659","GLRX3"
"660","GNAS"
"661","GPR137"
"662","GPX2"
"663","GRASP"
"664","GRM4"
"665","GSX2"
"666","H1F0"
"667","H1FNT"
"668","H1FOO"
"669","H1FX"
"670","H2AFB1"
"671","H2AFB2"
"672","H2AFB3"
"673","H2AFJ"
"674","H2AFV"
"675","H2AFX"
"676","H2AFY2"
"677","H2AFY"
"678","H2AFZ"
"679","H2BFWT"
"680","H3F3A"
"681","H3F3B"
"682","H3"
"683","HARS"
"684","HBB"
"685","HEXDC"
"686","HIST1H1A"
"687","HIST1H1B"
"688","HIST1H1C"
"689","HIST1H1D"
"690","HIST1H1E"
"691","HIST1H2AA"
"692","HIST1H2AB"
"693","HIST1H2AC"
"694","HIST1H2AD"
"695","HIST1H2AE"
"696","HIST1H2AG"
"697","HIST1H2AH"
"698","HIST1H2AI"
"699","HIST1H2AJ"
"700","HIST1H2AK"
"701","HIST1H2AL"
"702","HIST1H2AM"
"703","HIST1H2BA"
"704","HIST1H2BB"
"705","HIST1H2BC"
"706","HIST1H2BD"
"707","HIST1H2BE"
"708","HIST1H2BF"
"709","HIST1H2BG"
"710","HIST1H2BH"
"711","HIST1H2BI"
"712","HIST1H2BJ"
"713","HIST1H2BK"
"714","HIST1H2BL"
"715","HIST1H2BM"
"716","HIST1H2BN"
"717","HIST1H2BO"
"718","HIST1H3A"
"719","HIST1H3B"
"720","HIST1H3C"
"721","HIST1H3D"
"722","HIST1H3E"
"723","HIST1H3F"
"724","HIST1H3G"
"725","HIST1H3H"
"726","HIST1H3I"
"727","HIST1H3J"
"728","HIST1H4A"
"729","HIST1H4B"
"730","HIST1H4C"
"731","HIST1H4D"
"732","HIST1H4E"
"733","HIST1H4F"
"734","HIST1H4H"
"735","HIST1H4I"
"736","HIST1H4J"
"737","HIST1H4K"
"738","HIST1H4L"
"739","HIST2H2AA3"
"740","HIST2H2AA4"
"741","HIST2H2AB"
"742","HIST2H2AC"
"743","HIST2H2BE"
"744","HIST2H2BF"
"745","HIST2H3A"
"746","HIST2H3C"
"747","HIST2H3D"
"748","HIST2H3PS2"
"749","HIST2H4A"
"750","HIST2H4B"
"751","HIST3H2A"
"752","HIST3H2BB"
"753","HIST3H3"
"754","HIST4H4"
"755","HKR1"
"756","HM13"
"757","HNRNPA2B1"
"758","HNRNPA3"
"759","HNRNPH1"
"760","HNRNPUL2-BSCL2"
"761","HOOK2"
"762","HOXA6"
"763","HOXD11"
"764","HRASLS2"
"765","HRASLS5"
"766","HRASLS"
"767","HSPB2-C11orf52"
"768","HSPB8"
"769","HYPM"
"770","IARS"
"771","ICK"
"772","IGF2R"
