"","missingGenes"
"1089","LPA"
"1090","LRATD1"
"1091","LRATD2"
"1092","LRIG1"
"1093","LRRC10"
"1094","LRRC24"
"1095","LRRC26"
"1096","LRRC29"
"1097","LRRC37A"
"1098","LRRC37A2"
"1099","LRRC37A3"
"1100","LRRC37B"
"1101","LRRC43"
"1102","LRRC53"
"1103","LRRC66"
"1104","LRRN4"
"1105","LTBP2"
"1106","LYL1"
"1107","LYPD3"
"1108","LYPD8"
"1109","MACIR"
"1110","MACROH2A1"
"1111","MACROH2A2"
"1112","MADCAM1"
"1113","MAFA"
"1114","MAGEA1"
"1115","MAGEA8"
"1116","MAGEA9"
"1117","MAGEA9B"
"1118","MAGEB18"
"1119","MAGEB4"
"1120","MAGEB6"
"1121","MAGEB6B"
"1122","MAGEC2"
"1123","MAGEC3"
"1124","MAGEE1"
"1125","MAGEL2"
"1126","MAGI1"
"1127","MALRD1"
"1128","MAML1"
"1129","MAML2"
"1130","MAML3"
"1131","MAMLD1"
"1132","MAN2B1"
"1133","MANSC4"
"1134","MAP10"
"1135","MAP11"
"1136","MAP1A"
"1137","MAP1LC3B2"
"1138","MAP3K1"
"1139","MAP3K10"
"1140","MAP3K15"
"1141","MAP3K5"
"1142","MAP3K6"
"1143","MAP7"
"1144","MAP7D3"
"1145","MAPK8IP2"
"1146","MARCHF1"
"1147","MARCHF10"
"1148","MARCHF11"
"1149","MARCHF2"
"1150","MARCHF3"
"1151","MARCHF4"
"1152","MARCHF5"
"1153","MARCHF6"
"1154","MARCHF7"
"1155","MARCHF8"
"1156","MARCHF9"
"1157","MARCOL"
"1158","MARS1"
"1159","MARVELD2"
"1160","MAS1L"
"1161","MAST2"
"1162","MAT1A"
"1163","MAVS"
"1164","MBD3L1"
"1165","MBD3L2"
"1166","MBD3L2B"
"1167","MBD3L3"
"1168","MBD3L4"
"1169","MBD3L5"
"1170","MBTPS2"
"1171","MCPH1"
"1172","MDC1"
"1173","MEAK7"
"1174","MEF2A"
"1175","MEIOC"
"1176","MESP1"
"1177","MEX3B"
"1178","MEX3D"
"1179","MFSD6"
"1180","MGAM"
"1181","MGME1"
"1182","MICA"
"1183","MICALL2"
"1184","MICB"
"1185","MICOS10"
"1186","MICOS13"
"1187","MICU2"
"1188","MIDEAS"
"1189","MIDN"
"1190","MIIP"
"1191","MINAR1"
"1192","MINAR2"
"1193","MINDY2"
"1194","MIS18BP1"
"1195","MKI67"
"1196","MLLT1"
"1197","MLPH"
"1198","MMAB"
"1199","MMP24OS"
"1200","MMUT"
"1201","MN1"
"1202","MPC1L"
