"","newAnalysisData.Rho","oldData.Rho","newAnalysisData.p.adj","oldData.p.adj","newAnalysisData.permPValue","oldData.permp.2sided","RhoChange","RhoChangePercent","pChange","pChangePercent"
"DUSP28",-0.169628216151996,-0.186781874123037,0.267936398205857,0.187280120739748,0.0516934975776141,0.042335304054054,-0.0171536579710413,0.101125027192827,0.00935819352356011,0.18103231474151
"THADA",0.0112892007647149,0.00346064646874723,0.952065872306876,0.986155769445707,0.93294384737149,0.971605791999329,0.00782855429596767,0.693455139927736,-0.0386619446278385,-0.0414408056141492
"BTBD3",0.240043195049533,0.205319050992813,0.164944008185538,0.242008138649378,0.265413554615828,0.268472231010989,0.0347241440567196,0.144657898131852,-0.00305867639516116,-0.011524190614863
"MPV17",0.0757535315924223,0.0651683486995577,0.70420142657555,0.730785432675362,0.964044268736707,0.961920988180172,0.0105851828928646,0.139731873489625,0.00212328055653477,0.00220247204966753
"MEX3C",-0.0828751299720939,-0.0826829717581992,0.721536147146194,0.695524182189177,0.906813347665988,0.849035624171407,0.000192158213894733,-0.00231864751173769,0.0577777234945812,0.0637151224596474
"MTA1",-0.0821700423052572,-0.10634574670689,0.741750290626896,0.626890129678549,0.775316215790671,0.729876553648432,-0.0241757044016328,0.294215552571111,0.0454396621422387,0.0586079088980477
"PSTK",0.0496394650101044,0.0527926889299959,0.78328670857034,0.753450668599767,0.196393001272545,0.252855735574605,-0.00315322391989153,-0.063522520221555,-0.0564627343020596,-0.287498708895961
"CSF2RB",0.261777246850942,0.224296868122715,0.0266500860456368,0.0574407389583603,0.924209878168008,0.868771885415348,0.0374803787282275,0.143176609805088,0.0554379927526598,0.0599842027901178
"RELA",-0.080205741555175,-0.10363288464461,0.686262403901278,0.556265474222003,0.443409692960182,0.180828392378621,-0.023427143089435,0.29208810535489,0.262581300581561,0.592186649842002
"GDPD3",0.221989748910966,0.200129396011503,0.0732006379774014,0.107066561648201,0.107746603066897,0.104183308808072,0.0218603528994633,0.0984746052766197,0.00356329425882533,0.0330710589234351
"ESRRA",0.14437605791279,0.11663898595636,0.512620444506266,0.586807703081362,0.0404792376076971,0.447416166833871,0.0277370719564303,0.192116839574501,-0.406936929226174,-10.0529790894282
"GAL3ST1",-0.00873709568693873,-0.00383156949314687,0.970782839325401,0.987206267817676,0.93682537414723,0.991201111438555,0.00490552619379186,-0.56145959361819,-0.0543757372913249,-0.0580425539186766
"HSPB7",0.0396584053593467,0.0275781193751909,0.890598030954485,0.918990943139093,0.76538169174149,0.847274416247942,0.0120802859841558,0.304608465083145,-0.0818927245064522,-0.106995928162483
"PNPLA7",-0.137479928089648,-0.135422383457181,0.355592432786885,0.341226529962998,0.883328472115365,0.83947966658247,0.00205754463246688,-0.0149661456843736,0.0438488055328947,0.0496404303915248
"PSD",-0.00919866361190075,0.00349309486356225,0.964625300377902,0.987146821782246,0.922015001490734,0.973366686286051,0.0057055687483385,-0.620260614917686,-0.0513516847953172,-0.0556950643018721
"SMCR8",0.139995104317825,0.126561467716162,0.295504898548027,0.342572010486063,0.486176783205263,0.229436136875092,0.0134336366016635,0.0959579027218382,0.256740646330171,0.528080844662168
