"","Rho","N","P","p.adj","PermPval","Carnivora","Cetacean","Combination","ratio"
"SKP2",-0.0608289734090087,73,0.530090807796511,0.779964736930634,0.779368400819533,"0.7474","0.2483","0.2655","0.3552"
"FTO",0.0466862956122705,89,0.593759166855569,0.81543941298548,0.779407095078212,"0.2363","0.3155","0.2261","0.7167"
"ERP29",-0.0272565414676589,71,0.781511294998713,0.911745204294117,0.779443641618497,"0.3804","0.2469","0.2709","0.7122"
"OTUB1",-0.156017430767017,48,0.194785048691098,0.497992817960274,0.779445096873656,"0.6622","0.2878","0.57","0.8607"
"RAD51AP1",0.0607646843883638,120,0.418815371414773,0.707914184076448,0.779452333521031,"0.2035","0.2634","0.227","0.862"
"ADCK2",0.0325415943002922,108,0.68153498684573,0.862625279803219,0.779495884856433,"3.924","0.948","0.2755","0.07019"
"CACUL1",-0.0418449587376459,54,0.711610603574176,0.878362285245251,0.77950931171818,"0.5647","0.2743","0.3191","0.565"
"USP45",0.286220916357538,118,0.000159503449547408,0.00776209121166861,0.779556497680629,"66950","0.2555","241.1","0.003601"
"NPM1",-0.152290935099082,38,0.262755504542381,0.575820523464839,0.779653923308943,"0.6139","0.3218","0.4299","0.7003"
"TARS3",-0.111039048670593,120,0.13957328937836,0.422770378752629,0.779761929807583,"0.5346","0.2031","0.3526","0.6596"
"RPTOR",-0.0517268666699926,72,0.596010449522849,0.817407577244387,0.77982056479939,"0.2454","0.3927","0.2845","0.7244"
"KLK14",-0.125328128563902,95,0.13876178358917,0.421932269252166,0.779841644600394,"84.88","8.467","0.3685","0.004342"
"CD36",-0.102574386404595,106,0.200099268017099,0.504711501380509,0.779856531957955,"1.541","0.2099","0.763","0.4952"
"TMEM106C",-0.100433777722604,81,0.274188452428854,0.587605410238367,0.779866416716356,"0.8535","0.256","0.3813","0.4468"
"DAP",-0.0522126422325259,44,0.678402375852188,0.861936244554548,0.780167099403838,"0.9908","0.5841","0.3664","0.3698"
"FBXL3",-0.134249255320514,56,0.226802805544573,0.538050790547882,0.780173949392222,"0.7437","0.3194","0.4374","0.5882"
"NFAM1",0.166325473125246,113,0.031845198545938,0.193146919310662,0.780214510926848,"316.1","0.4276","3.836","0.01214"
"C8orf48",0.0689861538729986,110,0.379876630221637,0.677707379382521,0.780222150328912,"4.585","2.045","0.394","0.08593"
"C5orf49",0.0394388458442406,68,0.694690495233858,0.870411049065011,0.780285239970797,"0.3445","0.3156","0.2575","0.7474"
"CPSF2",-0.198820048699083,35,0.161513318467542,0.457204116085113,0.780333353525281,"1.773","0.354","0.6479","0.3655"
"CLEC20A",-0.079796736092977,83,0.379019111108,0.676984001380473,0.780385860157054,"0.2342","0.368","0.3392","0.9217"
"C11orf24",-0.0422206114998502,95,0.617973839969665,0.830249480345958,0.78039523314335,"0.2268","0.6926","0.2889","0.4171"
"CHIC1",-0.0565353847925868,39,0.673416574633767,0.860049496119109,0.780456841795132,"0.5286","0.3126","0.4144","0.7839"
"CABP1",-0.0440945307578505,47,0.717022342888135,0.881050904437651,0.780499589213961,"0.4346","0.3163","0.291","0.6696"
"TBX6",-0.0358247939376535,91,0.678890144925136,0.862194261445904,0.780512152688627,"0.245","0.2751","0.251","0.9121"
"ITGB5",0.12815342923884,99,0.122107140991777,0.393611016326686,0.780525599790985,"1.751","0.2265","0.942","0.538"
"DPY19L4",-0.214428422663332,84,0.0173847731448479,0.137924658912059,0.780679063981297,"4.208","0.2275","1.339","0.3183"
"SLC35F1",-0.181254724322705,49,0.127873909740739,0.403723441803163,0.780715942174252,"0.5976","0.285","0.3513","0.5879"
"TRPM8",-0.0881592006935372,106,0.270806572075105,0.584313382036526,0.780751442082835,"7.996","0.4934","0.4203","0.05256"
"HIPK2",0.0808377864740137,81,0.378795700618917,0.67694070602165,0.780754796239284,"0.2316","0.962","0.3148","0.3273"
"HTRA1",-0.0387377929526562,71,0.693449581686089,0.869569844878657,0.780754908857353,"0.2503","0.2535","0.2448","0.9658"
"SDCBP",0.0444324308087487,75,0.641906578283288,0.842736258849594,0.780799249084975,"0.916","2.819","0.2579","0.0915"
"NCALD",0.0916532111965215,58,0.400757152833867,0.693789208991658,0.78080183142073,"1.199","2.316","0.2971","0.1282"
"FBXL8",0.071468688573789,89,0.414192362996691,0.70542827653013,0.780930850711539,"0.4751","0.2539","0.3511","0.7391"
"DBX1",0.0423268517896693,71,0.666687476994769,0.856055050659624,0.781000926784059,"0.2644","0.2592","0.3228","1.221"
"ACY1",-0.0555155382500598,93,0.516544135864081,0.770897717617687,0.781023508836834,"0.2253","1.395","0.3659","0.2622"
"CCDC188",0.0379134676236183,101,0.644037253055782,0.843813802613564,0.781040097488344,"0.2435","0.6676","0.2302","0.3448"
"FAM163A",-0.018098661656105,71,0.853885033843,0.943333661420656,0.78111483736806,"0.4149","0.8486","0.2519","0.2969"
"XKR6",-0.0132574573640716,75,0.889644531753391,0.958186930635067,0.781137720722679,"0.24","0.2571","0.239","0.9296"
"MPP3",0.00976776231463256,104,0.903824239844826,0.962626935632404,0.781198106654768,"0.272","0.2076","0.2865","1.053"
"SCFD1",-0.0893694748450098,53,0.434245463276489,0.720584931088635,0.781259043138109,"177.2","0.3967","0.7116","0.004015"
"AGRP",-0.0152072433522522,73,0.875270973857243,0.952702702950657,0.781272607931162,"0.2604","0.37","0.254","0.6864"
"RABL6",-0.161478046212148,105,0.0447151629955895,0.230671749621998,0.781298289151403,"0.7535","0.2323","1.076","1.428"
"POLR1A",-0.0734913209520957,126,0.316173793953593,0.625885402814946,0.781433203770911,"0.5717","0.3629","0.2177","0.3807"
"RFC1",-0.0297797324665591,115,0.698209662766239,0.872073330060578,0.781533870766719,"0.3056","0.2672","0.2066","0.676"
"YTHDF2",-0.053895436495094,38,0.691860903454578,0.868699311351775,0.781629292965507,"0.624","0.4912","0.3195","0.5121"
"CLVS1",-0.0922714861120231,51,0.42872600551511,0.715464356200987,0.781743308167467,"1.747","0.3505","0.4801","0.2748"
"ARHGAP21",0.103670255453959,126,0.157372602413223,0.45026349674877,0.781747385411553,"241.5","0.8105","1.717","0.00711"
"IQCD",0.132309729420553,108,0.0952152032073678,0.345248593074707,0.781860099645111,"0.6944","0.2106","0.788","1.135"
"KRT35",0.175357001026196,91,0.0427278245185537,0.225440154965487,0.781869096000509,"0.2285","2789519835678603","3.272","0.000000000000001173"
"PKD1",-0.0595647068700613,117,0.433993591177775,0.720419798168324,0.781879795208825,"374","144656","0.2363","0.000001634"
"HARBI1",-0.0215124829753709,62,0.838244630925978,0.936545921540513,0.781882814092825,"0.6572","0.3382","0.2627","0.3997"
"EFCAB11",0.0370990707465038,78,0.69197545312428,0.868699311351775,0.782001695454064,"0.6762","0.4969","0.2561","0.3788"
"GPRASP2",-0.115021635117894,92,0.181356409821437,0.480253943290923,0.782044361903106,"0.4846","0.3787","0.27","0.5572"
"OR10G6",-0.0460587451388001,85,0.607256548053499,0.823709868675755,0.782065155553619,"0.2889","NA","0.3082","NA"
"ODF3L2",-0.105584532639765,101,0.198168675940308,0.502581786705273,0.782096636149078,"0.5904","30.03","0.5681","0.01892"
"EN1",-0.0608492683168793,66,0.550949679230684,0.792553672642674,0.782124880101309,"0.2743","0.3041","0.3531","1.161"
"FGB",-0.0377516300281958,108,0.6340236963732,0.838995689503484,0.782175861103332,"0.334","0.217","0.2334","0.6988"
"TACR1",-0.0315230919574908,75,0.741457259492464,0.892348834696623,0.782198581849135,"0.7954","0.3266","0.2821","0.3546"
"ZNF385C",-0.0322786211631424,99,0.69698339402997,0.871505477090791,0.782221866457952,"0.2483","0.2233","0.268","1.079"
"RASSF8",0.0164709721924994,58,0.879972058421736,0.954243958721544,0.782285675786585,"1.528","0.4737","0.2681","0.1755"
"TMEM212",0.14357884049132,95,0.0898856313596004,0.335113677326411,0.782314834515634,"1.856","0.2261","1.185","0.6382"
"H1-5",0.0117621811176211,59,0.913367288681436,0.966025170717442,0.782397408207343,"0.3053","0.517","0.3148","0.609"
