"","Rho","N","P","p.adj","PermPval","Bat","Cetacean","Combination","ratio"
"P3H1",-0.12166393494501,205,0.0337473399087995,0.128211047773174,0.0456710945330441,"0.2987","0.432","1.042","2.411"
"MRPL28",-0.194376904219831,162,0.00260055023953312,0.0206316335810654,0.0456985739584304,"7.791","0.2629","19.2","2.465"
"FAM126B",0.0928538943562116,125,0.207192483175789,0.419932443036552,0.0457095289272114,"0.3087","0.5018","0.7434","1.481"
"NRTN",-0.0727048643192636,99,0.380442611092219,0.598313773018298,0.0457561263432761,"0.325","0.247","0.4412","1.358"
"CAV2",0.300514622936774,126,4.15417418735823e-05,0.000962012957251902,0.0457598954708781,"16001","0.3178","205.5","0.01284"
"TOM1L2",0.176729062372625,160,0.00651209416084454,0.0399024302998659,0.045829788879437,"0.6985","1.039","5.178","4.983"
"LAMA2",-0.0776004286300459,227,0.153972661010667,0.34983253180359,0.0458910412960837,"0.1457","1.709","0.4296","0.2514"
"TMEM81",-0.0935408941904148,187,0.119166887234159,0.297954457737659,0.0459092489987913,"0.1893","0.3712","0.372","1.002"
"PPP1R17",0.218967862580931,134,0.00206082379279223,0.0173930919473952,0.0459093028429332,"136.8","0.3684","15.92","0.1164"
"GTF2H2",-0.133111879144436,128,0.0672352307138017,0.204426783561135,0.0459283431185053,"1.073","0.2438","1.814","1.69"
"TUBAL3",-0.189511919928445,182,0.00184511235591865,0.0161232842799862,0.045961543840457,"30.38","0.1711","23.13","0.7614"
"NWD2",0.0798149856248847,198,0.171131535379093,0.373747349411253,0.0459755711703471,"0.6304","0.1679","0.7306","1.159"
"PCYT1A",-0.188748428251602,118,0.0127763538687966,0.0647835665590026,0.0459773256513136,"1.972","0.2953","4.9","2.484"
"CHST6",-0.185387085753423,140,0.00764422796523865,0.0447250222668186,0.0460810888747909,"0.7937","0.2432","1.441","1.815"
"C19orf38",-0.259446383197639,184,1.8119596075716e-05,0.000523510117278794,0.0460841967702791,"12.27","21.63","3932","181.7"
"ZNF580",0.218333441152343,60,0.0416446022487985,0.147989545899461,0.0460930681243971,"12.9","0.3076","3.503","0.2714"
"PLEKHJ1",-0.125580861399018,136,0.0749920483095007,0.220228070664091,0.046095588819566,"0.933","0.2058","1.211","1.298"
"OS9",-0.122274255710476,199,0.0355566332837552,0.132876517002954,0.0461281094082076,"1.89","0.1605","1.668","0.8824"
"BAIAP2L2",-0.200828716019372,157,0.00219605486296654,0.0182267997495802,0.0461981045193999,"1.432","0.8742","13.07","9.13"
"CDH7",0.116266334496299,150,0.0832011434641455,0.23647366266559,0.0462216684749562,"0.6196","0.457","2.232","3.603"
"CAMSAP2",0.368864168986821,176,2.53202110201613e-09,5.06467520930776e-07,0.0462312187632193,"376727","0.2916","247101","0.6559"
"AREG",0.269123195130938,192,5.53418978049356e-06,0.000204995613119116,0.0462322646816578,"47.33","3.045","9443","199.5"
"ASIC3",-0.217933932399133,185,0.00030520159169536,0.0041794473162102,0.0462919073519133,"224.7","0.1603","62.99","0.2803"
"DDX6",0.260691433529334,28,0.103064468513493,0.271062091763624,0.0463015397891217,"1.088","NA","1.088","NA"
"UBN2",0.0961779578583916,190,0.106278748197614,0.276336562361834,0.0463539655451613,"0.1722","0.5724","0.4018","0.7019"
"PPIC",-0.106724705807783,132,0.136114992143261,0.323979191473518,0.0463582287690992,"0.5767","0.2113","0.7456","1.293"
"ZBTB43",0.0961582914438859,103,0.236539665432312,0.453414916896005,0.0464016302806097,"0.2432","0.3139","0.3263","1.039"
"GPX2",0.123604007871192,93,0.148661869057302,0.342433745308038,0.0464218787129532,"0.2718","2.883","0.77","0.267"
"ZNF358",-0.0438096762256651,172,0.484172011096132,0.690587838414747,0.046437737634196,"0.165","0.3645","0.2252","0.618"
"SDC3",-0.201620143829485,158,0.00204018378226475,0.0172977058288928,0.0464424066749743,"3.778","0.455","20.72","5.485"
"HYAL4",-0.048913532759941,193,0.407699946605788,0.624741360519589,0.0464586630545018,"0.218","0.9806","0.1754","0.1789"
"HEXB",-0.18897857618962,194,0.00134053141380397,0.0126630364130408,0.0464754152385974,"0.3614","35.87","32.75","0.913"
"VPS33A",0.100091324632288,119,0.184817040279137,0.391662333273307,0.0465025412860514,"0.2008","0.3749","0.3003","0.8012"
"ASB12",0.13547401782757,137,0.0538635167147677,0.175508856540361,0.0465069164755553,"2.561","0.1856","2.416","0.9434"
"CFAP410",-0.216241071438958,166,0.000694522067779125,0.00762782575744788,0.0465625939999632,"8.009","0.2162","13.99","1.746"
"C17orf49",-0.171641135793018,93,0.0449018269190393,0.15592860988682,0.0465751878992271,"0.4641","0.3186","0.7812","1.683"
"BTBD11",0.154647588073382,117,0.0422266417467668,0.149418061016318,0.0467045391186911,"0.2275","0.6647","0.5713","0.8594"
"HJURP",-0.212423506898854,206,0.000202416197145847,0.00305860621976189,0.0467504235598964,"2.509","2.233","111.7","44.53"
"CDC42EP3",-0.0654516377580514,116,0.392022454559664,0.60981270709281,0.0468682447937106,"0.2041","0.2189","0.2165","0.989"
"ADRB3",0.115832117738916,157,0.0773498014095602,0.225082968226619,0.0468951104201445,"0.3988","22141851","1.377","0.00000006218"
"KIF9",0.0880308760058847,205,0.124496884515165,0.306773428585417,0.0469005380513237,"0.3324","0.2004","0.5307","1.596"
"ACAT1",-0.158220139813856,169,0.0122704805471032,0.0630749212061499,0.0469789562263033,"0.279","1.409","1.682","1.194"
"RPS6KC1",-0.120699805716465,206,0.0347350010594118,0.130875791606477,0.0470150456555407,"0.4467","0.3825","1.492","3.339"
"REX1BD",0.12745549632733,137,0.0697053096625823,0.209351419898769,0.0470375595133133,"0.2851","1.615","1.483","0.9184"
"PLEKHA7",0.102602638565045,202,0.0755396814806883,0.221341025638333,0.0470580450928821,"0.1706","7.908","0.3566","0.04509"
"HARBI1",0.047793120906283,124,0.517906556779469,0.717225505978802,0.0470900822645751,"0.201","0.4719","0.3427","0.7263"
"ADAMTS16",-0.310329887159366,208,4.89099652708474e-08,5.14906094910593e-06,0.0470910297533459,"837960","0.1732","153592","0.1833"
"CFTR",0.184608133919901,212,0.0010508646004288,0.0105099595850385,0.0471001699744628,"2.2","0.1688","2.598","1.181"
"NLGN3",-0.0726397220282243,86,0.414791644118782,0.631120651249287,0.0471250986653595,"0.3743","0.2254","0.3409","0.9109"
"TMEM109",0.240681454880282,171,0.000127009789845281,0.00215633738982501,0.0472003498186417,"1.377","17.91","245.1","13.69"
"PER3",-0.236829198954146,129,0.00107945188478207,0.0107421573757977,0.0472257063066934,"4.631","0.373","18.67","4.032"
"EIF4E3",0.212958501119179,105,0.00811434260449255,0.0467070900565071,0.0472691268884414,"1.1","0.3784","3.516","3.197"
"HIP1",-0.225918394710777,201,9.4880683044116e-05,0.00174715844657301,0.0472999900368636,"570.6","0.1582","193.3","0.3388"
"ZDHHC15",0.0875923332645545,109,0.267089858118424,0.487729306129296,0.0473202563275572,"0.2131","0.7184","0.3822","0.5321"
"BNIP5",-0.112678987844504,207,0.0481605789025193,0.163307495232799,0.04733755337354,"0.2801","0.3778","0.8753","2.317"
"TMEM212",-0.215062561279031,167,0.000715643472869743,0.00780090385072318,0.0473454062593008,"10.07","0.1673","5.519","0.5478"
"NDE1",-0.204025507413684,133,0.00423425960771703,0.0296657715598459,0.0473504480041716,"1.662","0.5335","7.797","4.691"
"BIVM",-0.183229713847022,162,0.0045298948685626,0.0312176475825748,0.0473627861573826,"2.439","0.177","2.475","1.015"
"ACIN1",-0.203044358259764,199,0.000482218414341316,0.00579102587680608,0.0473652411631343,"3.191","0.444","19.67","6.165"
"EXD3",-0.18610856309313,144,0.00660166722673798,0.0403051808326063,0.0474158368895211,"0.2128","2.359","2.064","0.875"
"MMAB",-0.15526007089121,163,0.0158272534779438,0.0757832765272464,0.0475464854303583,"1.563","0.1857","1.71","1.094"
"RBP5",-0.243359900234658,121,0.00114754599262747,0.0112038016925106,0.0475766743785964,"96.66","4.884","15.41","0.1595"
"HOXB9",0.240230535824007,45,0.0535681865332223,0.175140466161662,0.0475900947249609,"1.73","0.352","0.8953","0.5174"
"KLF6",-0.196050195275809,97,0.0192544063320428,0.0869133929658187,0.0475942557160831,"5.995","0.2255","2.654","0.4428"
"IL18BP",-0.143806399640439,172,0.0216483298726175,0.0944686595641192,0.0476136958413476,"0.1743","4.121","0.8268","0.2006"
"SGK1",0.16264499500753,133,0.0226039918524785,0.0974694361690544,0.047630077887483,"0.4949","0.3127","1.151","2.326"
"RAD9A",-0.184592395909856,182,0.00241931347001538,0.0195722215102053,0.0476769543057886,"1.93","0.3146","6.419","3.325"
"IGDCC4",-0.160676530965672,198,0.00586743365655239,0.0370523572897203,0.0476868518618022,"5.853","0.157","2.627","0.4488"
"DNM3",0.240249075742238,120,0.00139091400865185,0.0130160268809631,0.047697387211388,"3.767","0.3183","10.66","2.831"
"KCNT2",0.295567845448233,128,4.8314138065412e-05,0.00107298826650515,0.0476979847442664,"177.9","0.2547","28.92","0.1626"
"NAA11",0.256982918609121,155,9.89046255276825e-05,0.00179441249171652,0.0477135915288657,"5.453","0.8643","35.34","6.481"
"CYP21A2",-0.182761309855715,178,0.00298174098936516,0.0228514460305658,0.0477389982887646,"1.532","0.5909","10.46","6.829"
"TMEM131L",-0.285305957529532,220,2.47828477348484e-07,1.83599596969002e-05,0.0477841070444181,"58.43","24.54","134091","2295"
"CIZ1",-0.114448074427347,133,0.108624402878548,0.280356079816536,0.0478339317149581,"0.2527","0.2317","0.353","1.397"
"VARS2",-0.0774376494418189,216,0.165307811271921,0.365669836324755,0.0478607815895408,"0.2014","26.89","0.3218","0.01197"
"GLTPD2",-0.0697074400060207,171,0.267042996992819,0.487729306129296,0.047875687635751,"0.1801","0.3235","0.2956","0.9137"
