"","X.1","X","FaName","Zoonomia","Common.Name.or.Group","scientific","phenotype","Binomial","BinomialPretty","PantheriaMaturity","pantheriaMaxAge","pantheriaBodysize","lifeHistoriesMaturity","lifeHistoryMaxAge","lifeHistoryBodysize","anAgeMaturity","anAgeMaxAge","anAgeBodysize","combinedMaturity","combinedBodysize","MaximumAge","MaturityPercentage","elifeLongevity","L3","ELL"
"66",66,66,"bubBub1","vs_HLbubBub2","Asian Water Buffalo","bubalus_bubalis","Herbivore","bubalus_bubalis","Bubalus bubalis",755.15,7092,929500.97,596.4,10440,950000,502,12738.5,725000,502,725000,12738.5,0.0394080935745967,NA,NA,NA
"67",67,67,"HLoviAri4","vs_HLoviAri5","Domestic sheep","ovis_aries","Herbivore","ovis_aries","Ovis aries",831.62,NA,39097.89,546.9,NA,50000,548,8322,80000,548,80000,8322,0.0658495553953377,NA,NA,NA
"68",68,68,"HLoviCan1","vs_HLoviCan1","Bighorn sheep","ovis_canadensis","Herbivore","ovis_canadensis","Ovis canadensis",761.25,NA,74644.87,692.1,7200,68166.67,707,7519,70275,707,70275,7519,0.0940284612315467,NA,NA,NA
"69",69,69,"HLcapHir2","vs_HLcapHir2","Domestic goat","capra_hircus","Herbivore","capra_hircus","Capra hircus",498.97,NA,47386.47,480,7470,60000,406,7592,61000,406,61000,7592,0.053477344573235,NA,NA,NA
"70",70,70,"panHod1","vs_panHod1","Tibetan antelope","pantholops_hodgsonii","Herbivore","pantholops_hodgsonii","Pantholops hodgsonii",NA,NA,NA,NA,NA,27500,NA,NA,NA,27500,NA,NA,NA,3650,-0.09675236,-0.953527249
"71",71,71,"HLodoVir1","vs_HLodoVir3","White-tailed Deer","odocoileus_virginianus","Herbivore","odocoileus_virginianus","Odocoileus virginianus",365,NA,75901.25,272.7,8280,59500,309,8395,87000,309,87000,8395,0.0368076235854675,NA,NA,NA
"72",72,72,"HLcerEla1",NA,NA,"cervus_elaphus_hippelaphus",NA,"cervus_elaphus","Cervus elaphus",659.91,6444,240867.13,850.8,9720,120333.33,852,11497.5,2e+05,852,2e+05,11497.5,0.0741030658838878,NA,NA,NA
"73",73,73,"susScr11","vs_susScr11","Pig","sus_scrofa","Generalist","sus_scrofa","Sus scrofa",350.76,NA,84471.54,293.1,7560,100900,334,9855,130000,334,130000,9855,0.0338914256722476,NA,NA,NA
"74",74,74,"HLequCab3","vs_equCab3","Horse","equus_caballus","Herbivore","equus_caballus","Equus caballus",834.72,NA,403598.53,NA,NA,NA,914,20805,3e+05,914,3e+05,20805,0.0439317471761596,NA,NA,NA
"75",75,75,"equPrz1","vs_equPrz1","Przewalskii Horse","equus_przewalskii","Herbivore","equus_przewalskii","Equus przewalskii",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76",76,76,"HLequAsi1","vs_HLequAsiAsi2","Wild Donkey","equus_asinus","Herbivore","equus_asinus","Equus asinus",742.46,NA,164998.49,684,16920,250000,708,17155,164998,708,164998,17155,0.0412707665403672,NA,NA,NA
"77",77,77,"cerSim1","vs_HLcerSimCot1","White rhinoceros (Chad)","ceratotherium_simum_cottoni","Herbivore","ceratotherium_simum","Ceratotherium simum",2741.23,NA,2285939.43,1997.1,18000,2233333.33,1643,16425,2175000,1643,2175000,16425,0.100030441400304,16425,1.950827302,-0.547587866
"78",78,78,"felCat8","vs_felCat9","Cat","felis_catus","Carnivore","felis_catus","Felis catus",296.98,NA,2884.8,NA,NA,NA,289,10950,3900,289,3900,10950,0.0263926940639269,NA,NA,NA
"79",79,79,"HLaciJub1","vs_HLaciJub2","Cheetah","acinonyx_jubatus","Carnivore","acinonyx_jubatus","Acinonyx jubatus",741.97,NA,50577.92,762.3,6840,58750,456,7482.5,53500,456,53500,7482.5,0.0609421984630805,NA,NA,NA
"80",80,80,"panTig1","vs_panTig1","Tiger","panthera_tigris_altaica","Carnivore","panthera_tigris","Panthera tigris",1522.5,NA,161914.66,1233.6,9450,119700,1268,9599.5,119700,1268,119700,9599.5,0.132090213031929,NA,NA,NA
"81",81,81,"HLpanPar1","vs_HLpanPar1","Leopard","panthera_pardus","Carnivore","panthera_pardus","Panthera pardus",810.68,NA,52399.99,1023,8280,42325,937,9964.5,53750,937,53750,9964.5,0.0940338200612173,NA,NA,NA
"82",82,82,"canFam3","vs_canFam4","Dog","canis_lupus_familiaris","Carnivore","canis_lupus","Canis lupus",679.37,10620,31756.51,661.2,5760,34875,669,7519,26625,669,26625,7519,0.0889745976858625,7519,0.456947365,-0.328316304
"83",83,83,"HLlycPic1","vs_HLlycPic3","African Hunting Dog ","lycaon_pictus","Carnivore","lycaon_pictus","Lycaon pictus",817.15,NA,21999.99,757.5,6120,27133.33,639,6205,26500,639,26500,6205,0.102981466559226,NA,NA,NA
"84",84,84,"musFur1","vs_HLmusFur2","Ferret","mustela_putorius_furo","Carnivore","mustela_putorius","Mustela putorius",308.5,NA,975.55,300,5040,588.67,312,4051.5,809,312,809,4051.5,0.0770085153646797,4051.5,-0.72674359,-0.153299244
"85",85,85,"HLenhLut1",NA,NA,NA,NA,"NA_NA","NA NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"86",86,86,"HLailFul1","vs_HLailFul2","Red Panda ","ailurus_fulgens","Omnivore","ailurus_fulgens","Ailurus fulgens",604.05,1440,5170.08,585.3,6300,4325,550,6935,4325,550,4325,6935,0.0793078586878154,NA,NA,NA
"87",87,87,"ailMel1","vs_HLailMel2","Panda","ailuropoda_melanoleuca","Omnivore","ailuropoda_melanoleuca","Ailuropoda melanoleuca",2413.02,5400,117999.99,2317.8,12240,111600,2192,13432,117500,2192,117500,13432,0.163192376414532,13432,1.218848079,-0.143757506
"88",88,88,"ursMar1","vs_ursMar1","Polar Bear","ursus_maritimus","Carnivore","ursus_maritimus","Ursus maritimus",1850.26,NA,371703.81,1656.6,16200,286366.67,1734,15987,475000,1734,475000,15987,0.108463126290111,NA,NA,NA
"89",89,89,"odoRosDiv1","vs_HLodoRos1","Pacific walrus","odobenus_rosmarus_divergens","Piscivore","odobenus_rosmarus","Odobenus rosmarus",2315.02,5940,1042996.25,1564.2,14400,650000,1745,NA,1012500,1745,1012500,14400,0.121180555555556,NA,NA,NA
"90",90,90,"lepWed1","vs_lepWed1","Weddell seal","leptonychotes_weddellii","Piscivore","leptonychotes_weddellii","Leptonychotes weddellii",1587.55,NA,4e+05,1455.3,9000,421666.67,1365,NA,425000,1365,425000,9000,0.151666666666667,10950,1.302204641,-0.560378219
"91",91,91,"neoSch1","vs_neoSch1","Hawaiian Monk Seal","neomonachus_schauinslandi","Piscivore","neomonachus_schauinslandi","Neomonachus schauinslandi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
