"","Order","BinPerm","CatPerm","ContPerm","BinRank","CatRank","ContRank","BinPercent","CatPercent","ContPercent","BinaryRankPercent","CatRankPercent","ContRankPercent"
"FAM207A",3685,0.0369731622865785,0.324752475247525,NA,1081,6739,NA,0.0721339917256106,0.41593630415998,NA,0.0666913443148868,0.41575667838855,NA
"SPATC1L",3686,0.0755850072478774,0.0448323998569994,0.36049,2242,1441,5093,0.149606299212598,0.0889396370818417,0.366158711903393,0.138318218273799,0.088901227712999,0.366086831512363
"S100B",3687,NA,0.0574051227281934,NA,15313,1778,NA,NA,0.109739538328601,NA,0.944722067986921,0.109692146338454,NA
"CLDND2",3688,0.966151306634421,0.0964970571482818,0.85569,14227,2662,11913,0.949352729213933,0.164300703616837,0.856311098332375,0.877722253069283,0.164229748904929,0.856311098332375
"HIPK4",3689,0.751548406907106,0.63403321146684,0.62275,9711,11120,8693,0.648004804484185,0.686335020367856,0.624856239217941,0.599111604664076,0.686038620519465,0.624856239217941
"PRX",3690,0.0298827460401524,0.115944089384608,0.60307,846,3109,8424,0.0564526891765648,0.19188989013702,0.605520414031052,0.0521932259855636,0.191807020790919,0.605520414031052
"SHKBP1",3691,0.039919258785622,0.023047472714459,0.08925,1186,830,1385,0.0791405311624183,0.0512282434267374,0.0995543415756182,0.0731692269726695,0.0512061200567586,0.0995543415756182
"NCR1",3692,0.0964621755179596,0.877639842674808,0.19893,2794,14420,2879,0.186440677966102,0.890013578570547,0.206943645773433,0.17237337281757,0.889629218335493,0.206943645773433
"ZER1",3693,0.994750557753239,0.957115711121356,0.49041,14811,15542,6861,0.988322434271987,0.959264288359462,0.493171362852214,0.913751619470664,0.958850021592942,0.493171362852214
"PKN3",3694,0.801160964717202,0.981510750603883,0.69583,10510,15922,9722,0.701321233150941,0.982718182940378,0.698821161587119,0.648405206983774,0.982293787402061,0.698821161587119
"TMEM190",3695,0.0127535146505724,0.996421304485639,0.33528,270,16145,4740,0.0180168156946483,0.996481915812863,0.34078493387004,0.0166574125485841,0.99605157628478,0.340713053479011
"NLRP8",3696,0.0690893814666566,0.00648586284582823,NA,2072,291,NA,0.138262378219672,0.0179607455869646,NA,0.127830217780246,0.0179529890801407,NA
"MED27",3697,0.544163130774139,0.699984252322782,NA,7582,11964,NA,0.505938876284532,0.738427354647574,NA,0.467764822012462,0.738108458263927,NA
"TLCD1",3698,0.696579219701558,0.563707424935992,0.7083,9017,10211,9890,0.601694915254237,0.630230835699296,0.710968947671075,0.556295885002159,0.629958664939231,0.710897067280046
"TMEM199",3699,0.271391524270474,0.35353736844105,0.40583,5392,7181,5705,0.359802482316829,0.443216886804098,0.410077630822312,0.33265469800728,0.443025479671787,0.410077630822312
"PHLDB3",3700,0.0234991064217548,0.218326473245658,0.94229,612,5035,13115,0.0408381155745362,0.310764103197136,0.942711328349626,0.0377568017767907,0.310629896970819,0.942711328349626
